class	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Archaea|p__Crenarchaeota|c__Thermoprotei	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria	1	1	0	1	1	1	2	0	1	4	0	2	4	1	0	2	0	0	0	3	0	1	1	0	0	3	0	1	0	2	0	0	0	0	2	1	0	2	0	0	1	5	3	0	0	1	2	1	0	0	1	1	1	0	0	2	3	0	1	2	0	0	1	2	4	0	0	1	0	0	2	2	3	0	2	0	0	3	2	1	1	2	4	0	2	1	3	3	3
d__Archaea|p__Euryarchaeota|c__Methanobacteria	5	118	2	25	1	8	5625	10	1	312	5	1274	753	0	1	8734	0	0	598	1	449	1417	43	0	0	4840	2	82	0	0	0	0	1	162	1	0	3	30	840	0	0	171	456	3	905	62	2328	1	0	598	0	0	0	0	0	496	0	13	31	131	573	1	0	0	625	0	3	0	1147	33	2370	0	37	25	3486	0	0	34572	0	6	132	2	4194	387	1	0	62	51	2237
d__Archaea|p__Euryarchaeota|c__Methanococci	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	7	0	0	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	4	4	3	6	0	4	3	1	1	2	3	3	4	14	6	4	1	3	4	1	1	2	0	4	3	5	8	1	2	6	4	4	1	5	4	0	4	3	2	2	2	5	6	0	0	0	3	9	0	1	2	3	4	6	4	1	3	2	0	0	3	2	7	2	2	1	0	4	5	3	1	4	4	0	4	0	4	5	0	5	1	3	3	2	5	6	10	1	3
d__Archaea|p__Euryarchaeota|c__Methanopyri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Thermococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2
d__Archaea|p__Euryarchaeota|c__Thermoplasmata	1	0	1	0	0	0	1701	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	336	3	0	11	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	5	0	0	0	4	0	1	0	1	0	0	0	0	0	3	3	0	0	0	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	3	3	4	2	4	8	5	2	5	4	1	2	0	3	0	3	0	2	3	1	5	8	3	1	6	1	4	4	20	0	2	5	0	1	4	2	0	4	2	2	6	7	9	0	0	3	3	3	1	7	0	0	1	0	4	4	2	1	7	5	2	8	16	7	3	3	4	2	4	3	4	3	13	0	4	4	7	9	0	2	2	3	8	3	5	0	3	18	6
